breed,allergy,size,grooming,energy,kids,trainability
Affenpinscher,no,small,2-3 Times a Week Brushing,apartment,yes,yes
Afghan Hound,yes,medium,Daily Brushing,home,no,no
Airedale Terrier,yes,medium,2-3 Times a Week Brushing,apartment,yes,yes
Akita,no,big,Daily Brushing,home,yes,yes
Alaskan Malamute,no,medium,2-3 Times a Week Brushing,home,yes,no
American Bulldog,no,medium,Occasional Bath/Brush,home,yes,no
American English Coonhound,yes,medium,Occasional Bath/Brush,home,yes,no
American Eskimo Dog,no,medium,Weekly Brushing,home,yes,yes
American Foxhound,no,medium,Occasional Bath/Brush,home,yes,no
American Hairless Terrier,yes,medium,Occasional Bath/Brush,home,yes,yes
American Leopard Hound,no,medium,Weekly Brushing,home,yes,yes
American Staffordshire Terrier,yes,medium,Occasional Bath/Brush,apartment,yes,no
American Water Spaniel,yes,medium,2-3 Times a Week Brushing,apartment,yes,yes
Anatolian Shepherd Dog,no,big,Weekly Brushing,apartment,no,no
Appenzeller Sennenhund,no,medium,Weekly Brushing,home,no,no
Australian Cattle Dog,no,medium,Occasional Bath/Brush,home,no,no
Australian Kelpie,no,medium,Weekly Brushing,home,yes,yes
Australian Shepherd,no,medium,Weekly Brushing,home,yes,yes
Australian Stumpy Tail Cattle Dog,yes,medium,Weekly Brushing,home,yes,yes
Australian Terrier,yes,small,Weekly Brushing,home,yes,no
Azawakh,yes,big,Weekly Brushing,apartment,yes,no
Barbet,yes,medium,Weekly Brushing,apartment,yes,no
Basenji,yes,medium,Occasional Bath/Brush,home,no,no
Basset Fauve de Bretagne,no,medium,Weekly Brushing,apartment,yes,no
Basset Hound,yes,medium,2-3 Times a Week Brushing,apartment,yes,no
Bavarian Mountain Scent Hound,no,medium,Weekly Brushing,apartment,no,no
Beagle,no,medium,2-3 Times a Week Brushing,home,yes,no
Bearded Collie,no,medium,Daily Brushing,apartment,yes,no
Beauceron,no,medium,2-3 Times a Week Brushing,home,no,yes
Bedlington Terrier,yes,medium,2-3 Times a Week Brushing,home,yes,no
Belgian Laekenois,no,medium,Weekly Brushing,home,no,yes
Belgian Malinois,no,medium,Weekly Brushing,home,no,yes
Belgian Sheepdog,no,medium,2-3 Times a Week Brushing,home,no,yes
Belgian Tervuren,no,medium,2-3 Times a Week Brushing,home,no,yes
Bergamasco Sheepdog,yes,medium,Occasional Bath/Brush,apartment,no,no
Berger Picard,no,medium,Occasional Bath/Brush,home,yes,yes
Bernese Mountain Dog,no,medium,2-3 Times a Week Brushing,home,no,yes
Bichon Frise,yes,small,Specialty/Professional,apartment,yes,no
Biewer Terrier,yes,small,2-3 Times a Week Brushing,apartment,yes,yes
Black and Tan Coonhound,no,medium,Weekly Brushing,apartment,yes,no
Black Russian Terrier,no,big,Daily Brushing,home,no,yes
Bloodhound,no,medium,Weekly Brushing,apartment,yes,no
Bluetick Coonhound,no,medium,Weekly Brushing,home,yes,no
Boerboel,yes,medium,Occasional Bath/Brush,apartment,no,no
Bohemian Shepherd,yes,medium,Occasional Bath/Brush,apartment,yes,yes
Bolognese,yes,small,2-3 Times a Week Brushing,apartment,yes,no
Border Collie,no,medium,2-3 Times a Week Brushing,home,no,yes
Border Terrier,yes,medium,Weekly Brushing,apartment,yes,yes
Borzoi,no,big,Weekly Brushing,home,yes,no
Boston Terrier,yes,medium,Weekly Brushing,apartment,yes,yes
Bouvier des Flandres,no,medium,Daily Brushing,home,yes,no
Boxer,yes,medium,Weekly Brushing,home,yes,yes
Boykin Spaniel,no,medium,2-3 Times a Week Brushing,apartment,yes,yes
Bracco Italiano,yes,medium,Occasional Bath/Brush,home,yes,yes
Braque du Bourbonnais,yes,medium,Occasional Bath/Brush,apartment,yes,yes
Braque Francais Pyrenean,no,medium,Occasional Bath/Brush,home,yes,yes
Briard,yes,medium,Daily Brushing,apartment,no,no
Brittany,no,medium,2-3 Times a Week Brushing,home,yes,yes
Broholmer,no,big,Occasional Bath/Brush,apartment,yes,no
Brussels Griffon,no,small,2-3 Times a Week Brushing,apartment,yes,no
Bull Terrier,no,medium,Weekly Brushing,home,yes,no
Bulldog,no,medium,2-3 Times a Week Brushing,apartment,yes,no
Bullmastiff,no,medium,Occasional Bath/Brush,home,yes,no
Cairn Terrier,yes,small,Weekly Brushing,apartment,yes,no
Canaan Dog,no,medium,Weekly Brushing,apartment,no,no
Cane Corso,yes,medium,Occasional Bath/Brush,home,yes,no
Cardigan Welsh Corgi,no,small,Weekly Brushing,home,yes,no
Carolina Dog,no,medium,Occasional Bath/Brush,apartment,yes,yes
Catahoula Leopard Dog,yes,medium,Occasional Bath/Brush,home,no,no
Caucasian Shepherd Dog,no,big,2-3 Times a Week Brushing,apartment,no,no
Cavalier King Charles Spaniel,yes,small,Weekly Brushing,apartment,yes,yes
Central Asian Shepherd Dog,no,medium,Occasional Bath/Brush,apartment,no,no
Cesky Terrier,yes,small,Weekly Brushing,apartment,no,no
Chesapeake Bay Retriever,no,medium,2-3 Times a Week Brushing,home,no,no
Chihuahua,yes,small,Occasional Bath/Brush,apartment,yes,no
Chinese Crested,yes,small,Occasional Bath/Brush,apartment,yes,no
Chinese Shar-Pei,no,medium,Occasional Bath/Brush,apartment,no,no
Chinook,no,medium,Weekly Brushing,home,yes,yes
Chow Chow,no,medium,2-3 Times a Week Brushing,apartment,no,no
Cirneco dellâ€™Etna,yes,medium,Occasional Bath/Brush,apartment,yes,no
Clumber Spaniel,no,medium,Weekly Brushing,apartment,no,no
Cocker Spaniel,yes,medium,Daily Brushing,apartment,yes,yes
Collie,no,medium,2-3 Times a Week Brushing,apartment,yes,yes
Coton de Tulear,yes,small,Daily Brushing,apartment,yes,yes
Croatian Sheepdog,yes,medium,Occasional Bath/Brush,home,no,yes
Curly-Coated Retriever,yes,medium,Occasional Bath/Brush,home,no,no
Czechoslovakian Vlcak,no,medium,Weekly Brushing,home,no,no
Dachshund,yes,small,Weekly Brushing,apartment,yes,no
Dalmatian,no,medium,Weekly Brushing,home,yes,no
Dandie Dinmont Terrier,yes,small,Daily Brushing,apartment,no,no
Danish-Swedish Farmdog,yes,medium,Occasional Bath/Brush,home,yes,yes
Deutscher Wachtelhund,no,medium,Weekly Brushing,apartment,yes,yes
Doberman Pinscher,no,big,Occasional Bath/Brush,home,yes,yes
Dogo Argentino,yes,medium,Occasional Bath/Brush,home,yes,no
Dogue de Bordeaux,no,medium,Occasional Bath/Brush,apartment,yes,no
Drentsche Patrijshond,no,medium,Weekly Brushing,home,no,no
Drever,yes,medium,Occasional Bath/Brush,apartment,yes,no
Dutch Shepherd,no,medium,Weekly Brushing,home,yes,no
English Cocker Spaniel,yes,medium,2-3 Times a Week Brushing,apartment,yes,yes
English Foxhound,no,medium,Occasional Bath/Brush,home,yes,no
English Setter,no,medium,2-3 Times a Week Brushing,home,yes,yes
English Springer Spaniel,yes,medium,Weekly Brushing,apartment,yes,yes
English Toy Spaniel,no,small,2-3 Times a Week Brushing,apartment,yes,no
Entlebucher Mountain Dog,yes,medium,Occasional Bath/Brush,home,no,no
Estrela Mountain Dog,no,big,Weekly Brushing,apartment,no,no
Eurasier,no,medium,2-3 Times a Week Brushing,apartment,no,no
Field Spaniel,no,medium,Weekly Brushing,apartment,no,no
Finnish Lapphund,no,medium,Weekly Brushing,apartment,no,yes
Finnish Spitz,no,medium,Weekly Brushing,home,yes,no
Flat-Coated Retriever,no,medium,Weekly Brushing,home,yes,yes
French Bulldog,no,small,Occasional Bath/Brush,apartment,yes,no
French Spaniel,yes,medium,Weekly Brushing,home,yes,yes
German Longhaired Pointer,no,big,Occasional Bath/Brush,home,yes,yes
German Pinscher,yes,medium,Occasional Bath/Brush,home,yes,no
German Shepherd Dog,no,medium,Weekly Brushing,apartment,yes,yes
German Shorthaired Pointer,no,medium,Weekly Brushing,home,yes,yes
German Spitz,no,medium,2-3 Times a Week Brushing,apartment,no,yes
German Wirehaired Pointer,no,medium,Weekly Brushing,home,no,yes
Giant Schnauzer,yes,medium,Daily Brushing,home,yes,yes
Glen of Imaal Terrier,yes,medium,2-3 Times a Week Brushing,apartment,yes,no
Golden Retriever,no,medium,Weekly Brushing,home,yes,yes
Gordon Setter,no,medium,Weekly Brushing,home,no,no
Grand Basset Griffon VendÃ©en,no,medium,Weekly Brushing,home,yes,no
Great Dane,no,big,Occasional Bath/Brush,home,yes,no
Great Pyrenees,no,big,Weekly Brushing,home,no,no
Greater Swiss Mountain Dog,no,big,Weekly Brushing,home,yes,no
Greyhound,yes,big,Occasional Bath/Brush,home,yes,no
Hamiltonstovare,yes,medium,Occasional Bath/Brush,home,yes,no
Hanoverian Scenthound,yes,medium,Occasional Bath/Brush,apartment,no,no
Harrier,yes,medium,Weekly Brushing,home,yes,yes
Havanese,yes,small,2-3 Times a Week Brushing,apartment,yes,yes
Hokkaido,no,medium,Weekly Brushing,home,yes,no
Hovawart,no,big,Occasional Bath/Brush,apartment,no,no
Ibizan Hound,yes,medium,Occasional Bath/Brush,home,no,no
Icelandic Sheepdog,no,medium,Weekly Brushing,home,yes,yes
Irish Red and White Setter,no,medium,Weekly Brushing,home,yes,yes
Irish Setter,no,medium,2-3 Times a Week Brushing,home,yes,no
Irish Terrier,yes,medium,Occasional Bath/Brush,apartment,yes,no
Irish Water Spaniel,no,medium,Weekly Brushing,home,no,yes
Irish Wolfhound,no,big,Weekly Brushing,apartment,yes,no
Italian Greyhound,no,medium,Occasional Bath/Brush,apartment,no,no
Jagdterrier,yes,medium,Weekly Brushing,home,yes,no
Japanese Chin,no,small,Weekly Brushing,apartment,no,no
Japanese Spitz,yes,medium,Weekly Brushing,apartment,yes,yes
Jindo,no,medium,Weekly Brushing,home,no,no
Kai Ken,no,medium,Occasional Bath/Brush,home,no,no
Karelian Bear Dog,no,medium,Occasional Bath/Brush,apartment,no,yes
Keeshond,no,medium,2-3 Times a Week Brushing,apartment,yes,yes
Kerry Blue Terrier,yes,medium,2-3 Times a Week Brushing,apartment,yes,no
Kishu Ken,no,medium,Occasional Bath/Brush,home,no,no
Komondor,no,medium,Specialty/Professional,apartment,no,no
Kromfohrlander,no,medium,2-3 Times a Week Brushing,apartment,no,no
Kuvasz,no,big,Weekly Brushing,apartment,no,no
Labrador Retriever,no,medium,Weekly Brushing,home,yes,yes
Lagotto Romagnolo,yes,medium,Occasional Bath/Brush,apartment,yes,yes
Lakeland Terrier,yes,medium,Weekly Brushing,apartment,yes,no
Lancashire Heeler,no,small,Occasional Bath/Brush,home,yes,yes
Lapponian Herder,no,medium,Weekly Brushing,apartment,no,yes
Leonberger,no,big,Daily Brushing,apartment,yes,yes
Lhasa Apso,yes,small,2-3 Times a Week Brushing,apartment,no,no
Lowchen,yes,small,Occasional Bath/Brush,apartment,yes,no
Maltese,yes,small,Daily Brushing,apartment,yes,no
Manchester Terrier (Standard),yes,medium,Weekly Brushing,apartment,yes,yes
Manchester Terrier (Toy),yes,small,Weekly Brushing,apartment,yes,yes
Mastiff,yes,big,Occasional Bath/Brush,apartment,yes,no
Miniature American Shepherd,no,medium,Daily Brushing,home,yes,yes
Miniature Bull Terrier,yes,medium,Occasional Bath/Brush,home,yes,no
Miniature Pinscher,yes,small,Occasional Bath/Brush,apartment,yes,no
Miniature Schnauzer,yes,medium,Specialty/Professional,apartment,yes,yes
Mountain Cur,no,medium,Occasional Bath/Brush,home,no,no
Mudi,yes,medium,Occasional Bath/Brush,home,no,yes
Neapolitan Mastiff,no,big,Weekly Brushing,apartment,no,no
Nederlandse Kooikerhondje,no,medium,Weekly Brushing,apartment,no,yes
Newfoundland,no,big,Weekly Brushing,apartment,yes,yes
Norfolk Terrier,no,small,Weekly Brushing,apartment,yes,no
Norrbottenspets,yes,medium,Weekly Brushing,home,yes,yes
Norwegian Buhund,no,medium,Weekly Brushing,home,yes,yes
Norwegian Elkhound,no,medium,Weekly Brushing,apartment,yes,no
Norwegian Lundehund,no,medium,Weekly Brushing,home,no,no
Norwich Terrier,no,small,Weekly Brushing,home,yes,no
Nova Scotia Duck Tolling Retriever,no,medium,Weekly Brushing,home,yes,yes
Old English Sheepdog,no,medium,2-3 Times a Week Brushing,apartment,yes,no
Otterhound,no,medium,Weekly Brushing,apartment,yes,no
Papillon,no,small,Weekly Brushing,apartment,yes,yes
Parson Russell Terrier,yes,medium,Weekly Brushing,home,yes,no
Pekingese,no,small,2-3 Times a Week Brushing,apartment,no,no
Pembroke Welsh Corgi,no,small,Weekly Brushing,home,yes,no
Perro de Presa Canario,no,medium,Occasional Bath/Brush,apartment,yes,no
